id,codigo,codigo_barras,nome,descricao,categoria,unidade_medida,preco_custo,preco_venda,estoque_atual,estoque_minimo,ncm,cest,aliquota_icms,aliquota_ipi,aliquota_pis,aliquota_cofins,dados_completos,imported_at,api_page
1,1,,,,,Unidade,0.00,0.00,0.00,,,,,,,,"{""id"":""1"",""grupo"":""INFORMATICA"",""origem"":""Nacional"",""status"":""inativo"",""fabricante"":null,""nomeProduto"":""teste_api2"",""unidadeMedida"":""Unidade"",""valorCustoBase"":""0"",""descricaoProduto"":""teste teste"",""contaPadraoPlanoFinanceiro"":""2.1.2.01 - INFRAESTRUTURA""}","""2026-03-03T14:15:12.251Z""",0
2,2,,,,,Caixas,0.00,0.00,0.00,,,,,,,,"{""id"":""2"",""grupo"":""QUALIDADE DE VIDA"",""origem"":null,""status"":""ativo"",""fabricante"":null,""nomeProduto"":""Vitamina C"",""unidadeMedida"":""Caixas"",""valorCustoBase"":""0"",""descricaoProduto"":""ACIDO ASCORBICO-CONCENTRACAO/DOSAGEM 500 MG,FORMA FARMACEUTICA COMPRIMIDO,VIA DE ADMINISTRACAO ORAL"",""contaPadraoPlanoFinanceiro"":""2.1.2.02.006 - KIT QUALIDADE DE VIDA""}","""2026-03-03T14:15:12.251Z""",0
3,3,,,,,Caixas,0.00,0.00,0.00,,,,,,,,"{""id"":""3"",""grupo"":""QUALIDADE DE VIDA"",""origem"":null,""status"":""ativo"",""fabricante"":null,""nomeProduto"":""BUSCOPAN"",""unidadeMedida"":""Caixas"",""valorCustoBase"":""0"",""descricaoProduto"":""DIPIRONA SODICA + ESCOPOLAMINA, BUTILBROMETO + HIOSCIAMINA, BROMIDRATO + HOMATROPINA, METILBROMETO-CONCENTRACAO/DOSAGEM 300 MG + 6,5 MCG + 104 MCG + 1 MG RESPECTIVAMENTE,FORMA FARMACEUTICA COMPRIMIDO,VIA DE ADMINISTRACAO ORAL"",""contaPadraoPlanoFinanceiro"":""2.1.2.02.006 - KIT QUALIDADE DE VIDA""}","""2026-03-03T14:15:12.251Z""",0
4,4,,,,,Pacote,0.00,0.00,0.00,,,,,,,,"{""id"":""4"",""grupo"":""QUALIDADE DE VIDA"",""origem"":null,""status"":""ativo"",""fabricante"":null,""nomeProduto"":""ATADURA DE CREPE"",""unidadeMedida"":""Pacote"",""valorCustoBase"":""0"",""descricaoProduto"":""ATADURA DE CREPE-EM ALGODAO COM 13 FIOS POR CENTIMETRO QUADRADO, COM DIMENSAO DE (20CMX4,5M), BORDAS DELIMITADAS SEM DESFIAMENTO, ELASTICIDADE LONGITUDINAL E TRANSVERSALMENTE, ENROLADA UNIFORMEMENTE,EM FORMA CILINDRICA, EMBALADO EM PLASTICO ATOXICO OU PAPEL APROPRIADO, O PRODUTO DEVERA SER ENTREGUE COM LAUDO ANALITICO QUE COMPROVE CUMPRIMENTO DA NBR14056"",""contaPadraoPlanoFinanceiro"":""2.1.2.02.006 - KIT QUALIDADE DE VIDA""}","""2026-03-03T14:15:12.251Z""",0
5,5,,,,,Pacote,0.00,0.00,0.00,,,,,,,,"{""id"":""5"",""grupo"":""QUALIDADE DE VIDA"",""origem"":null,""status"":""ativo"",""fabricante"":null,""nomeProduto"":"" GAZE HIDROFILA"",""unidadeMedida"":""Pacote"",""valorCustoBase"":""0"",""descricaoProduto"":""GAZE HIDROFILA-DE FIOS DE ALGODAO PURO E BRANCO, COM NO MINIMO 11 FIOS POR CM2, MEDINDO 91CM X 91,0M, BOM ACABAMENTO,SEM FIOS SOLTOS ENROLADA DE FORMA DE CONTINUA E UNIFORME, NAO ESTERIL, APRESENTACAO CONFORME DEC.LEI 79094/77 COMBINADO COM O ART.31 DA LEI 8078/90"",""contaPadraoPlanoFinanceiro"":""2.1.2.02.006 - KIT QUALIDADE DE VIDA""}","""2026-03-03T14:15:12.251Z""",0
6,6,,,,,Caixas,0.00,0.00,0.00,,,,,,,,"{""id"":""6"",""grupo"":""QUALIDADE DE VIDA"",""origem"":null,""status"":""ativo"",""fabricante"":null,""nomeProduto"":"" BICARBONATO DE SODIO"",""unidadeMedida"":""Caixas"",""valorCustoBase"":""0"",""descricaoProduto"":""BICARBONATO DE SODIO-CONCENTRACAO/DOSAGEM 100 MG/ML,FORMA FARMACEUTICA SOLUCAO ORAL,FORMA DE APRESENTACAO FRASCO,VIA DE ADMINISTRACAO ORAL"",""contaPadraoPlanoFinanceiro"":""2.1.2.02.006 - KIT QUALIDADE DE VIDA""}","""2026-03-03T14:15:12.251Z""",0
7,7,,,,,Caixas,0.00,0.00,0.00,,,,,,,,"{""id"":""7"",""grupo"":""QUALIDADE DE VIDA"",""origem"":null,""status"":""ativo"",""fabricante"":null,""nomeProduto"":"" IBUPROFENO"",""unidadeMedida"":""Caixas"",""valorCustoBase"":""0"",""descricaoProduto"":""IBUPROFENO-CONCENTRACAO/DOSAGEM 600 MG,FORMA FARMACEUTICA COMPRIMIDO REVESTIDO,VIA DE ADMINISTRACAO ORAL"",""contaPadraoPlanoFinanceiro"":""2.1.2.02.006 - KIT QUALIDADE DE VIDA""}","""2026-03-03T14:15:12.251Z""",0
8,8,,,,,Unidade,0.00,0.00,0.00,,,,,,,,"{""id"":""8"",""grupo"":""QUALIDADE DE VIDA"",""origem"":null,""status"":""ativo"",""fabricante"":null,""nomeProduto"":""DICLOFENACO DIETILAMONIO"",""unidadeMedida"":""Unidade"",""valorCustoBase"":""0"",""descricaoProduto"":""DICLOFENACO DIETILAMONIO-CONCENTRACAO/DOSAGEM 11,6 MG/G,FORMA FARMACEUTICA GEL,FORMA DE APRESENTACAO BISNAGA,VIA DE ADMINISTRACAO TOPICA"",""contaPadraoPlanoFinanceiro"":""2.1.2.02.006 - KIT QUALIDADE DE VIDA""}","""2026-03-03T14:15:12.251Z""",0
9,9,,,,,Caixas,0.00,0.00,0.00,,,,,,,,"{""id"":""9"",""grupo"":""QUALIDADE DE VIDA"",""origem"":null,""status"":""ativo"",""fabricante"":null,""nomeProduto"":""MASCARA CIRURGICA DESCARTAVEL-EM TNT"",""unidadeMedida"":""Caixas"",""valorCustoBase"":""0"",""descricaoProduto"":""MASCARA CIRURGICA DESCARTAVEL-EM TNT 60G,COM DISPOSITIVO PARA AJUSTE NASAL FIXADO NO CORPO DA MASCARA,TRIPLA CAMADA,ATOXICA, APIROGENICA,ELASTICOS LATERAIS,COR BRANCA."",""contaPadraoPlanoFinanceiro"":""2.1.2.02.006 - KIT QUALIDADE DE VIDA""}","""2026-03-03T14:15:12.251Z""",0
10,10,,,,,Unidade,0.00,0.00,0.00,,,,,,,,"{""id"":""10"",""grupo"":""QUALIDADE DE VIDA"",""origem"":null,""status"":""ativo"",""fabricante"":null,""nomeProduto"":"" OLEO MINERAL"",""unidadeMedida"":""Unidade"",""valorCustoBase"":""0"",""descricaoProduto"":""OLEO MINERAL-CONCENTRACAO/DOSAGEM 1 ML/ML,FORMA FARMACEUTICA  OLEO,FORMA DE APRESENTACAO FRASCO,VIA DE ADMINISTRACAO ORAL"",""contaPadraoPlanoFinanceiro"":""2.1.2.02.006 - KIT QUALIDADE DE VIDA""}","""2026-03-03T14:15:12.251Z""",0
